Scan:     22 RXSJ011848.2+383 2015-10-21 +02 22 53.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -344.8982487262758809     -0.0076472
    -344.2957946646611731     -0.0202394
    -343.6933381788985002     -0.0098610
    -343.0908792690211158      0.0037417
    -342.4884179349291458     -0.0144798
    -341.8859541766225902      0.0071570
    -341.2834879941680697     -0.0006172
    -340.6810193874656534     -0.0112073
    -340.0785483565820186      0.0095669
    -339.4760749013838677      0.0047273
    -338.8735990219712448      0.0063329
    -338.2711207182774729      0.0132079
    -337.6686399903024949      0.0087581
    -337.0661568379798609     -0.0029802
    -336.4636712614093312     -0.0120191
    -335.8611832604911456     -0.0123442
    -335.2586928352251903     -0.0093693
    -334.6561999855783256      0.0152859
    -334.0537047115170708      0.0009472
    -333.4512070131414703      0.0101519
    -332.8487068903515933     -0.0034723
    -332.2462043431141865      0.0107343
    -331.6436993714291930     -0.0022803
    -331.0411919753299230     -0.0017407
    -330.4386821547498130     -0.0016154
    -329.8361699097221731      0.0021051
    -329.2336552401137624     -0.0022998
    -328.6311381460911889      0.0016439
    -328.0286186275211548      0.0093756
    -327.4260966844037171      0.0145832
    -326.8235723167056221     -0.0039062
    -326.2210455244933200     -0.0012569
    -325.6185163077003608      0.0107628
    -325.0159846662934910     -0.0009930
    -324.4134506003058505      0.0102016
    -323.8109141096376788      0.0059212
    -323.2083751943555399      0.0014323
    -322.6058338544261801      0.0116546
    -322.0032900898495427      0.0043734
    -321.4007439005258107     -0.0019613
    -320.7981952865547441      0.0160820
    -320.1956442478698932      0.0139893
    -319.5930907844712578      0.0037980
    -318.9905348962589073      0.0187994
    -318.3879765833660258      0.0035637
    -317.7854158456927394     -0.0005833
    -317.1828526832391049     -0.0031145
    -316.5802870959716984     -0.0003523
    -315.9777190838241268      0.0038431
    -315.3751486469294036      0.0022884
    -314.7725757851877688      0.0073318
    -314.1700004985658552     -0.0030781
    -313.5674227870304094     -0.0017066
    -312.9648426506813053      0.0208345
    -312.3622600893853587      0.0201697
    -311.7596751032091902      0.0254583
    -311.1570876920529258      0.0189845
    -310.5544978559831293      0.0174207
    -309.9519055949332369     -0.0016440
    -309.3493109089366158     -0.0113754
    -308.7467137979597851     -0.0027269
    -308.1441142619030416      0.0148726
    -307.5415123008662022      0.0094636
    -306.9389079148160135     -0.0003113
    -306.3363011037191654      0.0121356
    -305.7336918675090374      0.0388119
    -305.1310802062523067      0.0036808
    -304.5284661199155494      0.0114753
    -303.9258496084989360      0.0187691
    -303.3232306718691689      0.0012165
    -302.7206093101594320      0.0158444
    -302.1179855233032754      0.0175685
    -301.5153593113005854      0.0053745
    -300.9127306740847416     -0.0051078
    -300.3100996116559145     -0.0064157
    -299.7074661240472437      0.0046116
    -299.1048302112254760      0.0166241
    -298.5021918731573578     -0.0060339
    -297.8995511097763256      0.0066852
    -297.2969079211821395      0.0057574
    -296.6942623073084633      0.0164904
    -296.0916142681217025      0.0192320
    -295.4889638035887742      0.0028389
    -294.8863109137762422      0.0008346
    -294.2836555986507392      0.0037564
    -293.6809978581124483      0.0203060
    -293.0783376921946797     -0.0019064
    -292.4756751009306868      0.0037644
    -291.8730100842538491      0.0048568
    -291.2703426421975905     -0.0066421
    -290.6676727746619804     -0.0022279
    -290.0650004816802721     -0.0078566
    -289.4623257632525224     -0.0137891
    -288.8596486193786745      0.0014803
    -288.2569690499922217     -0.0069230
    -287.6542870550598536     -0.0074514
    -287.0516026346813874     -0.0039442
    -286.4489157887570059     -0.0024393
    -285.8462265172867660      0.0039083
    -285.2435348201707370      0.0022085
    -284.6408406975753564     -0.0003495
    -284.0381441493674401     -0.0092392
    -283.4354451755804121     -0.0030451
    -282.8327437761475380     -0.0077386
