Scan:    530 SDSSJ001847.44+3 2015-10-27 +06 05 00.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -303.3301206083046964      0.0024967
    -302.7274853675463646     -0.0044274
    -302.1248477015749927      0.0116109
    -301.5222076102906499      0.0169655
    -300.9195650937599567      0.0117182
    -300.3169201518830960     -0.0017828
    -299.7142727846599541     -0.0066142
    -299.1116229921571517     -0.0092151
    -298.5089707742749283      0.0005128
    -297.9063161310464238     -0.0124005
    -297.3036590623718780      0.0022215
    -296.7009995683844181     -0.0130339
    -296.0983376489175498      0.0101046
    -295.4956733041045140     -0.0003396
    -294.8930065337788733      0.0003475
    -294.2903373380403877     -0.0035480
    -293.6876657168559177     -0.0032068
    -293.0849916701254756      0.0121938
    -292.4823151979489353      0.0180375
    -291.8796363002264798      0.0040141
    -291.2769549770247295      0.0044102
    -290.6742712282105003     -0.0038454
    -290.0715850538836094      0.0025411
    -289.4688964539774929     -0.0065676
    -288.8662054284922078      0.0009282
    -288.2635119773944439      0.0091045
    -287.6608161007174544     -0.0040716
    -287.0581177983946759      0.0017293
    -286.4554170703929117      0.0063812
    -285.8527139167786117      0.0028413
    -285.2500083374520159      0.0045565
    -284.6473003324796309      0.0011494
    -284.0445899017616398     -0.0028641
    -283.4418770453646061      0.0096577
    -282.8391617631885993     -0.0107128
    -282.2364440553336067     -0.0061876
    -281.6337239216663875      0.0010470
    -281.0310013622535621      0.0010360
    -280.4282763770618203     -0.0065006
    -279.8255489659914019      0.0223653
    -279.2228191291752637     -0.0034696
    -278.6200868664804489     -0.0056383
    -278.0173521779734074     -0.0046528
    -277.4146150635543790     -0.0133882
    -276.8118755233230672      0.0102717
    -276.2091335571465152      0.0092812
    -275.6063891650912296      0.0114835
    -275.0036423470905333     -0.0060466
    -274.4008931031778502     -0.0015722
    -273.7981414332866166     -0.0003127
    -273.1953873374499153     -0.0043117
    -272.5926308156680307     -0.0158218
    -271.9898718678076648     -0.0002657
    -271.3871104940019450      0.0049955
    -270.7843466941177439     -0.0187472
    -270.1815804682549924     -0.0132263
    -269.5788118162804494      0.0170284
    -268.9760407382941025     -0.0053253
    -268.3732672341626539     -0.0150744
    -267.7704913039860344      0.0024009
    -267.1677129476644268      0.0179837
    -266.5649321652310846     -0.0129292
    -265.9621489566860078     -0.0275907
    -265.3593633219293793      0.0045810
    -264.7565752610609024     -0.0024784
    -264.1537847739143103      0.0039096
    -263.5509918606559836      0.0098297
    -262.9481965211194847      0.0180733
    -262.3453987554047444      0.0050164
    -261.7425985634117751      0.0128738
    -261.1397959452072541      0.0076498
    -260.5369909006579974     -0.0056286
    -259.9341834298971889     -0.0220977
    -259.3313735327916447      0.0034765
    -258.7285612093413079     -0.0090752
    -258.1257464596128557     -0.0188728
    -257.5229292835064143     -0.0149695
    -256.9201096810552372     -0.0012960
    -256.3172876521927606     -0.0074899
    -255.7144631969855482     -0.0090211
    -255.1116363153337829     -0.0138898
    -254.5088070073039717     -0.0026599
