Scan:    641 2MASSJ00294+2424 2015-10-28 +04 03 08.0
         OPTICAL                 Tb    
        km/s-LSR                 XX
    -334.6686450730589968     -0.0147232
    -334.0661273502084327     -0.0066804
    -333.4636072027438445     -0.0001704
    -332.8610846307318525     -0.0011038
    -332.2585596341391465     -0.0093722
    -331.6560322128659664     -0.0183026
    -331.0535023670120154      0.0090094
    -330.4509700965441539      0.0070797
    -329.8484354013291409     -0.0043260
    -329.2458982815001605      0.0052270
    -328.6433587369573388     -0.0044268
    -328.0408167677339861     -0.0039098
    -327.4382723737968490      0.0030034
    -326.8357255550793070     -0.0038463
    -326.2331763116811771      0.0115932
    -325.6306246435026992     -0.0047013
    -325.0280705505105630     -0.0001286
    -324.4255140327712184      0.0019892
    -323.8229550901849620     -0.0091774
    -323.2203937228183577      0.0043123
    -322.6178299306380950      0.0026119
    -322.0152637135442433      0.0010462
    -321.4126950716034230      0.0066350
    -320.8101240048156342      0.0180431
    -320.2075505131143700     -0.0043686
    -319.6049745964995736      0.0013348
    -319.0023962550044985     -0.0104232
    -318.3998154884960741     -0.0042303
    -317.7972322971074277      0.0095410
    -317.1946466806720650      0.0017039
    -316.5920586393564804      0.0122923
    -315.9894681729942363      0.0078095
    -315.3868752815852758     -0.0113793
    -314.7842799652295867      0.0006692
    -314.1816822237938709      0.0007286
    -313.5790820572782422     -0.0006892
    -312.9764794657492644      0.0020381
    -312.3738744490738100     -0.0014480
    -311.7712670073516392      0.0093387
    -311.1686571405161885      0.0046958
    -310.5660448485010079     -0.0120626
    -309.9634301314058575      0.0013450
    -309.3608129891641738     -0.0050405
    -308.7581934216761965      0.0047961
    -308.1555714290416859     -0.0007339
    -307.5529470111940213      0.0042101
    -306.9503201681666269      0.0117451
    -306.3476908998928252      0.0073436
    -305.7450592063394197      0.0032773
    -305.1424250875729740      0.0011170
    -304.5397885435600642     -0.0108924
    -303.9371495741676767     -0.0000131
    -303.3345081795289957      0.0002727
    -302.7318643596105971      0.0055981
    -302.1292181142794675      0.0075731
    -301.5265694436353670      0.0073277
    -300.9239183476117319     -0.0039922
    -300.3212648262419293      0.0031130
    -299.7186088794925922      0.0111657
    -299.1159505072972138      0.0110687
    -298.5132897096891043      0.0068490
    -297.9106264867014033      0.0146272
    -297.3079608381678440      0.0102224
    -296.7052927642548070     -0.0014843
    -296.1026222647957979      0.0048192
    -295.4999493398907475      0.0058175
    -294.8972739895063455     -0.0073756
    -294.2945962135094646     -0.0092756
    -293.6919160120332322     -0.0112285
    -293.0892333850443947      0.0154054
    -292.4865483324097113      0.0119051
    -291.8838608542291695     -0.0018894
    -291.2811709504028386     -0.0083655
    -290.6784786210305924      0.0148776
    -290.0757838660458674     -0.0012236
    -289.4730866853488465      0.0114749
    -288.8703870790725432      0.0187760
    -288.2676850471172543     -0.0023789
    -287.6649805894163023      0.0100026
    -287.0622737060696181      0.0112360
    -286.4595643969773278      0.0131298
    -285.8568526622059380      0.0102144
    -285.2541385016556319     -0.0031609
    -284.6514219153264662      0.0110253
    -284.0487029032850046      0.0108209
    -283.4459814654645129      0.0122044
    -282.8432576017654014      0.0031987
    -282.2405313123206270      0.0231500
    -281.6378025970303725      0.0072244
    -281.0350714558280174      0.0076092
    -280.4323378888468028     -0.0128499
    -279.8296018959536013     -0.0021435
    -279.2268634771816664     -0.0062379
    -278.6241226325308844     -0.0030145
    -278.0213793619015519     -0.0111286
    -277.4186336653934291      0.0062847
    -276.8158855429400091      0.0087258
    -276.2131349945079819      0.0194657
    -275.6103820200973473      0.0091333
    -275.0076266196748520      0.0087708
    -274.4048687932737494     -0.0023339
    -273.8021085408607291      0.0157114
    -273.1993458623692277      0.0096816
    -272.5965807578992326     -0.0071625
    -271.9938132273173323      0.0159504
    -271.3910432706571214      0.0014345
    -270.7882708879183724     -0.0025329
    -270.1854960790346354     -0.0061937
    -269.5827188440724171      0.0268213
    -268.9799391829652677      0.0135533
    -268.3771570956797063     -0.0065641
    -267.7743725822491569      0.0146316
    -267.1715856426403093      0.0162872
    -266.5687962768198531      0.0058550
    -265.9660044847877884      0.0082890
    -265.3632102665109187     -0.0163688
    -264.7604136220556938     -0.0064265
    -264.1576145513222968      0.0060313
    -263.5548130542775311      0.0082981
    -262.9520091309877898     -0.0026763
    -262.3492027814199901     -0.0150729
    -261.7463940054740874     -0.0113571
    -261.1435828032500694     -0.0027869
    -260.5407691746813725      0.0042919
    -259.9379531197013193     -0.0095221
    -259.3351346384098406     -0.0194057
    -258.7323137307071192      0.0088012
    -258.1294903966262950      0.0091256
    -257.5266646361009748      0.0117222
    -256.9238364491311017      0.0262881
    -256.3210058357831258      0.0250025
    -255.7181727959240618      0.0125999
    -255.1153373295871347     -0.0185895
    -254.5124994367723446     -0.0158918
    -253.9096591174464379      0.0088537
    -253.3068163716093295      0.0004737
    -252.7039711992611046     -0.0037038
    -252.1011236003019178      0.0069579
    -251.4982735748648395      0.0099930
    -250.8954211228167708     -0.0023831
    -250.2925662441244299     -0.0152561
    -249.6897089388876623      0.0051165
    -249.0868492069733406     -0.0021574
    -248.4839870484812820     -0.0050768
    -247.8811224633449797     -0.0129790
    -247.2782554514977846      0.0014653
    -246.6753860130063458      0.0015914
    -246.0725141478040712      0.0061368
    -245.4696398558909323      0.0025536
    -244.8667631372669575      0.0017920
    -244.2638839918655833     -0.0059718
    -243.6610024197533448     -0.0292051
    -243.0581184208637069     -0.0079630
    -242.4552319951633592      0.0052356
    -241.8523431427188939      0.0138128
    -241.2494518634637473      0.0054533
    -240.6465581572980170     -0.0018397
    -240.0436620243881691     -0.0036445
    -239.4407634646010763      0.0018674
    -238.8378624778701464     -0.0026917
    -238.2349590643285069      0.0082126
    -237.6320532238430587     -0.0070748
    -237.0291449564803372     -0.0235083
    -236.4262342622070605     -0.0128453
    -235.8233211409233832      0.0003313
    -235.2204055927291506     -0.0017520
    -234.6174876175911379     -0.0031701
    -234.0145672153761325     -0.0202923
    -233.4116443862505434     -0.0228494
    -232.8087191300147651     -0.0062515
    -232.2057914468351214      0.0166964
    -231.6028613365785418     -0.0095030
    -230.9999287992449410     -0.0004039
    -230.3969938348677147      0.0018727
    -229.7940564433802138      0.0075934
    -229.1911166247824667     -0.0128450
    -228.5881743790744736     -0.0148961
    -227.9852297061896707      0.0092632
    -227.3822826062279034     -0.0073793
    -226.7793330790893265      0.0011564
    -226.1763811247073477      0.0037501
    -225.5734267432151228      0.0089092
    -224.9704699345128063      0.0091270
    -224.3675106985005527     -0.0053542
    -223.7645490353447428     -0.0006523
    -223.1615849448457141     -0.0167111
    -222.5586184271698471     -0.0144192
    -221.9556494821840715     -0.0082943
    -221.3526781098883021      0.0103582
    -220.7497043103158774      0.0143377
    -220.1467280834002338     -0.0019765
    -219.5437494291080611      0.0080331
    -218.9407683475059230      0.0026849
    -218.3377848385605660     -0.0114706
    -217.7347989021721162      0.0071899
    -217.1318105384071941      0.0066604
    -216.5288197472324043      0.0222015
    -215.9258265286478604      0.0033672
    -215.3228308826202237      0.0050021
    -214.7198328090829023     -0.0003955
    -214.1168323081357983     -0.0074007
    -213.5138293796790663      0.0004538
    -212.9108240237126211     -0.0004774
    -212.3078162402365763     -0.0168401
    -211.7048060292175933     -0.0058431
    -211.1017933906889539     -0.0018714
    -210.4987783246173763     -0.0070163
    -209.8957608309029865     -0.0123978
    -209.2927409096456870      0.0013475
    -208.6897185608121390      0.0063515
    -208.0866937842692721     -0.0004771
    -207.4836665801834670      0.0059567
    -206.8806369483883145      0.0016140
    -206.2776048889836318      0.0018142
    -205.6745704019028551     -0.0046471
    -205.0715334870794777      0.0012147
    -204.4684941445800348     -0.0095641
    -203.8654523743712446     -0.0125520
    -203.2624081763864865      0.0012770
    -202.6593615507256914      0.0013348
    -202.0563124972557034      0.0026675
    -201.4532610159764943      0.0039478
    -200.8502071069546560     -0.0047090
    -200.2471507700903146     -0.0212216
    -199.6440920054167805     -0.0198371
    -199.0410308129340251     -0.0121146
    -198.4379671925422031     -0.0122564
    -197.8349011443412166     -0.0008860
    -197.2318326682311636     -0.0065251
    -196.6287617642120154     -0.0125850
    -196.0256884322838573     -0.0179601
    -195.4226126724133223      0.0003234
    -194.8195344846670309     -0.0066253
    -194.2164538689451376     -0.0149616
    -193.6133708252143037      0.0138472
    -193.0102853535411498      0.0089516
    -192.4071974538590837      0.0011804
    -191.8041071261348236     -0.0019204
    -191.2010143704016798      0.0040869
    -190.5979191865930318      0.0022705
    -189.9948215747754716      0.0012072
    -189.3917215349157459     -0.0034197
    -188.7886190668806989     -0.0147213
    -188.1855141708034296     -0.0084388
    -187.5824068466174310     -0.0187872
    -186.9792970942560828     -0.0075882
    -186.3761849137859770     -0.0000928
    -185.7730703051072680     -0.0005636
    -185.1699532682865481     -0.0069439
    -184.5668338033237603     -0.0020267
    -183.9637119100525240      0.0067591
    -183.3605875886392198      0.0073268
    -182.7574608390173125      0.0056427
    -182.1543316610537033      0.0111053
    -181.5512000549147160     -0.0093636
    -180.9480660204672802     -0.0075303
    -180.3449295576781140     -0.0080738
    -179.7417906666470628     -0.0051834
    -179.1386493472409711      0.0243557
    -178.5355055995597127      0.0049301
    -177.9323594235034136      0.0049661
    -177.3292108190721024     -0.0009467
    -176.7260597862657505      0.0089083
    -176.1229063250843581      0.0140788
    -175.5197504354614182     -0.0093074
    -174.9165921174301275     -0.0080542
    -174.3134313709239791     -0.0030905
    -173.7102681960095083      0.0111414
    -173.1071025926534332      0.0128339
    -172.5039345607226551      0.0053708
    -171.9007641003835261      0.0098938
    -171.2975912115030042      0.0143225
    -170.6944158940810041     -0.0034995
    -170.0912381481175544      0.0009770
    -169.4880579735793731      0.0082145
    -168.8848753705330523      0.0043300
    -168.2816903388787182      0.0014168
    -167.6785028785830605     -0.0227811
    -167.0753129897126996     -0.0060353
    -166.4721206722342970      0.0044079
    -165.8689259260480640     -0.0053867
    -165.2657287512537891     -0.0147270
    -164.6625291477184021      0.0006549
    -164.0593271155749733      0.0027895
    -163.4561226546904038      0.0183079
    -162.8529157650647221      0.0198109
    -162.2497064467644066      0.0131511
    -161.6464946997229788      0.0081746
    -161.0432805238405081     -0.0144379
    -160.4400639192502069     -0.0071131
    -159.8368448858522299     -0.0200111
    -159.2336234236132100      0.0079743
    -158.6303995325997107     -0.0021256
    -158.0271732127120288      0.0022855
    -157.4239444640165573      0.0149294
    -156.8207132864800997      0.0143098
    -156.2174796799695571      0.0093130
    -155.6142436446512534     -0.0048983
    -155.0110051804253999      0.0302782
    -154.4077642871921512      0.0025517
    -153.8045209651178311      0.0128339
    -153.2012752140028624      0.0017588
    -152.5980270339803440      0.0225385
    -151.9947764249836837      0.0059183
    -151.3915233869462895      0.0108007
    -150.7882679199348104      0.0271604
    -150.1850100239158792      0.0212612
    -149.5817496987897073      0.0074078
    -148.9784869446560833      0.0029428
    -148.3752217614152187      0.0128833
    -147.7719541491336486      0.0049567
    -147.1686841077448094     -0.0109481
    -146.5654116372154476      0.0093358
    -145.9621367375787884      0.0172291
    -145.3588594088348316      0.0162341
    -144.7555796508505352      0.0181276
    -144.1522974637589414      0.0260337
    -143.5490128474269227      0.0247659
    -142.9457258019543531      0.0143462
    -142.3424363272414155      0.0228488
    -141.7391444232880531      0.0083570
    -141.1358500900943227      0.0287324
    -140.5325533276601675      0.0268208
    -139.9292541359190238      0.0278796
    -139.3259525149042304      0.0211447
    -138.7226484646157303      0.0005795
    -138.1193419849203963      0.0165873
    -137.5160330759846943      0.0068381
    -136.9127217376088765      0.0049837
    -136.3094079699593806      0.0182752
